ChangePassword	비밀번호 변경
PasswordMismatch	비밀번호가 일치하지 않습니다.
Password	비밀번호
PasswordConfirm	비밀번호 확인
PasswordCondition	문자, 숫자 포함 최소 8글자
Image	이미지
File	파일
Video	비디오
Bookmark	북마크
AddImage	이미지 추가
AddBookmark	북마크 추가
AddFile	파일 추가
AddVideo	비디오 추가
Bold	강조
Italic	이탤릭
Underline	밑줄
AlignLeft	왼쪽 정렬
AlignRight	오른쪽 정렬
AlignCenter	가운데 정렬
AlignJustify	양쪽 정렬
SignIn	로그인
SignUp	계정 생성
Email	이메일
ForgetPassword	비밀번호를 잊으셨나요?
Nickname	닉네임
EmptyEmailError	이메일을 입력해주세요.
EmailFormatError	이메일 형식이 아닙니다.
EmailAlreadyExistsError	이미 존재하는 이메일입니다.
NicknameCondition	2~27글자, 띄어쓰기, -,_,.(마침표) 사용 가능
NicknameAlreadyExistsError	이미 존재하는 닉네임입니다.
NicknameConditionError	2~15글자 내로 닉네임을 정해주세요.
AlreadyAccountExists	이미 계정이 있나요? 로그인하기
TooManyLoginRequestsError	요청을 너무 많이 보냈습니다. 잠시 뒤 다시 시도해주세요.
WrongEmailPasswordError	이메일 혹은 비밀번호가 잘못 입력되었습니다.
EmailFormatError	이메일 형식이 아닙니다.
SearchInHierarchy	여기서 검색
CreateNewPage	새 페이지 만들기
Support	문의 & 의견
SupportInMenu	문의 & 의견 보내기
PrivacyAndTerms	개인 정보 처리방침 & 약관
SignOut	로그아웃
SupportDescription	Molink 서비스에 대해 문의 사항이나 의견이 있으시다면 편하게 전달해주세요! 이메일을 통해 빠른 시일 내에 답변드리겠습니다!
SupportPlaceholder	문의사항을 입력해주세요.
Send	전송
SupportTitleInMobile	문의하기 & 의견 보내기
AcceptAll	전체 동의
Terms	이용 약관
PrivacyCollectAndUse	개인정보 수집, 이용
AcceptNecessary	 동의 (필수)
SignUpCheckListHelperText	모두 동의하셔야 가입하실 수 있습니다.
ChangePageName	이름 변경
CreateChildPage	하위 페이지 만들기
CreatePage	페이지 만들기
Delete	삭제
Accept	확인
DeletePage	문서 삭제
DeletePageDialogMsgOnlyOnePage	 문서를 제거합니다.
DeletePageDialogMsg1	 문서와 그 하위 문서
DeletePageDialogMsg2	개를 모두 제거합니다.
SettingHierarchy	하이어라키 설정
OrderedList	숫자 목록
UnorderedList	기본 목록
CheckList	체크 리스트
FollowRequest	팔로우 요청
PublicVisibility	전체 공개
OnlyFollowerVisibility	팔로워만
PrivateVisibility	비공개
Privacy	개인정보 처리 방침
SearchPlaceholder	현재 사용자만 검색할 수 있습니다.
FollowRequestText	님이 팔로우 요청을 보냈습니다.
Setting	설정
PrivateVisibilityDescription	나만 이 페이지를 볼 수 있습니다.
OnlyFollowerVisibilityDescription	팔로워하는 사람들만 이 페이지를 볼 수 있습니다.
PublicVisibilityDescription	모두 이 페이지를 볼 수 있습니다.
ChangeVisibility	공개 범위 변경
PublicVisibilityChangeMessage	공개 범위가 '전체 공개'로 변경되었습니다.
OnlyFollowerVisibilityChangeMessage	공개 범위가 '팔로워만'으로 변경되었습니다.
PrivateVisibilityChangeMessage	공개 범위가 '비공개'으로 변경되었습니다.
Link	링크
LinkTip	Tip! 링크를 복사한 뒤 페이지에 붙여넣으면 바로 북마크를 추가할 수 있습니다.
Toolbar	툴바
Add	추가
Locked	잠겨짐
Lock	잠금하기
ProfileImage	프로필 이미지
Biography	한 줄 소개
Follow	팔로우
Following	팔로잉
Requested	요청됨
